Indice Progetto,Organization type,Estimated  duration,Development type,Government policy impact,Developer hiring policy,Development team management,Consultant availability,DBMS  expert availability,Software tool experience,Programmers experience in programming language,Team size,Daily working hours,Team contracts,Development environment adequacy,Tool availability ,Methodology,Degree of software reuse ,Requirement accuracy level,User manual,Performance requirements,Actual effort
0,1.0,2.0,1.0,4.0,1.0,4.0,3.0,0.0,2.0,2.0,6.0,8.0,1.0,1.0,7.0,2.0,5.0,4.0,1.0,1.0,3168.0
1,5.0,2.0,1.0,4.0,2.0,7.0,3.0,0.0,5.0,2.0,3.0,8.0,1.0,1.0,8.0,1.0,5.0,2.0,1.0,1.0,1584.0
2,5.0,3.0,1.0,5.0,4.0,6.0,2.0,1.0,1.0,1.0,6.0,8.0,1.0,1.0,8.0,3.0,5.0,3.0,2.0,4.0,5280.0
3,4.0,6.0,1.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,6.0,8.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,5280.0
4,4.0,12.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,9.0,8.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,38016.0
5,4.0,6.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,9856.0
6,4.0,6.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,8.0,2.0,1.0,4.0,2.0,5.0,1.0,2.0,4.0,7920.0
7,4.0,6.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,2.0,3.0,1.0,2.0,4.0,4224.0
8,5.0,12.0,1.0,5.0,3.0,6.0,3.0,1.0,3.0,3.0,4.0,7.0,1.0,1.0,8.0,3.0,5.0,4.0,2.0,1.0,24255.0
9,4.0,9.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,7.0,9.0,1.0,1.0,8.0,3.0,5.0,1.0,2.0,1.0,35640.0
10,5.0,6.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,10.0,2.0,1.0,8.0,1.0,5.0,1.0,1.0,1.0,7920.0
11,5.0,2.0,1.0,5.0,4.0,6.0,3.0,1.0,1.0,1.0,3.0,8.0,2.0,1.0,8.0,2.0,4.0,4.0,2.0,2.0,1760.0
12,5.0,3.0,1.0,5.0,4.0,6.0,3.0,1.0,1.0,2.0,5.0,8.0,4.0,1.0,8.0,6.0,4.0,1.0,2.0,2.0,3080.0
